Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp_diff [K],power,wear_rate
2,298.1,308.6,1551,42.8,0,0,10.5,66382.8,0
1,298.2,308.7,1408,46.3,3,0,10.5,65190.4,0.002130682
1,298.1,308.5,1498,49.4,5,0,10.4,74001.2,0.003337784
1,298.2,308.6,1433,39.5,7,0,10.4,56603.5,0.004884857
1,298.2,308.7,1408,40,9,0,10.5,56320,0.006392045
2,298.1,308.6,1425,41.9,11,0,10.5,59707.5,0.007719298
1,298.1,308.6,1558,42.4,14,0,10.5,66059.2,0.008985879
1,298.1,308.6,1527,40.2,16,0,10.5,61385.4,0.010478062
2,298.3,308.7,1667,28.6,18,0,10.4,47676.2,0.01079784
2,298.5,309,1741,28,21,0,10.5,48748,0.012062033
0,298.4,308.9,1782,23.9,24,0,10.5,42589.8,0.013468013
0,298.6,309.1,1423,44.3,29,0,10.5,63038.9,0.02037948
2,298.6,309.1,1339,51.1,34,0,10.5,68422.9,0.025392084
2,298.6,309.2,1742,30,37,0,10.6,52260,0.021239954
1,298.6,309.2,2035,19.6,40,0,10.6,39886,0.01965602
1,298.6,309.2,1542,48.4,42,0,10.6,74632.8,0.027237354
2,298.6,309.2,1311,46.6,44,0,10.6,61092.6,0.033562166
2,298.7,309.2,1410,45.6,47,0,10.5,64296,0.033333333
0,298.8,309.2,1306,54.5,50,0,10.4,71177,0.038284839
2,298.9,309.3,1632,32.5,55,0,10.4,53040,0.03370098
0,298.9,309.3,1375,42.7,58,0,10.4,58712.5,0.042181818
1,298.8,309.3,1450,44.8,63,0,10.5,64960,0.043448276
2,298.9,309.3,1581,30.7,65,0,10.4,48536.7,0.041113219
1,299,309.4,1758,25.7,68,0,10.4,45180.6,0.038680319
2,299,309.4,1561,37.3,70,0,10.4,58225.3,0.044843049
1,299,309.5,1861,23.3,73,0,10.5,43361.3,0.039226222
1,299.1,309.5,1512,39,75,0,10.4,58968,0.049603175
0,299.1,309.4,1811,24.6,77,0,10.3,44550.6,0.042517946
1,299.1,309.4,1439,44.2,82,0,10.3,63603.8,0.056984017
1,299,309.4,1693,30.1,84,0,10.4,50959.3,0.049616066
2,299.1,309.5,1339,48.2,86,0,10.4,64539.8,0.064227035
1,299,309.4,1798,25.5,89,0,10.4,45849,0.049499444
1,299,309.4,1419,48.3,91,0,10.4,68537.7,0.064129669
1,298.9,309.3,1665,32.5,93,0,10.4,54112.5,0.055855856
2,298.8,309.1,1559,34.7,95,0,10.3,54097.3,0.060936498
2,298.8,309.2,1452,48.6,98,0,10.4,70567.2,0.067493113
2,298.9,309.2,1581,36.7,101,0,10.3,58022.7,0.063883618
1,298.8,309.1,1439,39.2,104,0,10.3,56408.8,0.072272411
0,298.9,309.2,1379,50.7,106,0,10.3,69915.3,0.076867295
1,298.8,309.1,1350,52.5,111,0,10.3,70875,0.082222222
1,298.8,309.1,1362,45.4,113,0,10.3,61834.8,0.082966226
1,298.8,309.1,1368,50.8,115,0,10.3,69494.4,0.084064327
2,298.8,309.1,1368,49.1,117,0,10.3,67168.8,0.085526316
0,298.8,309.2,1372,48.5,120,0,10.4,66542,0.087463557
2,298.8,309.1,1472,47.5,125,0,10.3,69920,0.084918478
1,298.8,309.1,1489,49.1,128,0,10.3,73109.9,0.085963734
2,298.7,309,1843,25.8,130,0,10.3,47549.4,0.070537168
1,298.8,309.1,1418,46.3,133,0,10.3,65653.4,0.093794076
0,298.8,309.2,1425,53.9,135,0,10.4,76807.5,0.094736842
2,298.9,309.2,1412,44.1,140,0,10.3,62269.2,0.099150142
1,298.9,309.1,2861,4.6,143,1,10.2,13160.6,0.049982524
1,298.9,309.1,1383,54.9,145,0,10.2,75926.7,0.104844541
0,298.8,309,1497,43.8,147,0,10.2,65568.6,0.098196393
1,298.7,309,1565,35.1,152,0,10.3,54931.5,0.097124601
1,298.7,309,1691,30.1,154,0,10.3,50899.1,0.091070373
1,298.8,309.1,1512,40.7,156,0,10.3,61538.4,0.103174603
1,298.8,309.1,1477,42.4,158,0,10.3,62624.8,0.106973595
1,298.8,309.1,1513,40.3,160,0,10.3,60973.9,0.105750165
2,298.8,309,1661,29.5,162,0,10.2,48999.5,0.097531607
1,298.8,309.1,1378,54.4,165,0,10.3,74963.2,0.119738752
1,298.8,309.1,1393,52.6,167,0,10.3,73271.8,0.11988514
2,298.8,309,1592,38.2,169,0,10.2,60814.4,0.106155779
1,298.8,309,1829,22.9,172,0,10.2,41884.1,0.094040459
2,298.9,309,1812,25.9,174,0,10.1,46930.8,0.09602649
1,299,309.1,1523,38.6,177,0,10.1,58787.8,0.116217991
1,299,309.1,1394,45.1,179,0,10.1,62869.4,0.128407461
2,298.9,308.9,1679,28.7,181,0,10,48187.3,0.107802263
0,298.8,308.9,1466,44.1,184,0,10.1,64650.6,0.125511596
1,298.8,308.9,1527,32.4,189,0,10.1,49474.8,0.123772102
1,298.9,309,1410,65.7,191,1,10.1,92637,0.135460993
2,298.9,309,1924,22.6,193,0,10.1,43482.4,0.10031185
1,298.9,309.1,1452,45.5,196,0,10.2,66066,0.134986226
1,298.9,309.1,1369,44.4,198,0,10.2,60783.6,0.144631118
1,299,309.1,1592,35,200,0,10.1,55720,0.125628141
1,298.9,309,1601,32.3,202,0,10.1,51712.3,0.126171143
1,298.8,308.9,1379,46.7,204,0,10.1,64399.3,0.147933285
1,298.8,308.9,1461,47.9,206,0,10.1,69981.9,0.140999316
1,298.8,308.9,1455,41.3,208,1,10.1,60091.5,0.142955326
1,298.8,308.9,1398,51.5,0,0,10.1,71997,0
1,298.8,308.9,1402,37.9,2,0,10.1,53135.8,0.001426534
0,298.8,308.8,1445,49.9,4,0,10,72105.5,0.002768166
1,298.9,308.9,1450,47.5,9,0,10,68875,0.006206897
1,298.9,308.9,1453,40.8,11,0,10,59282.4,0.007570544
1,299,309,1469,40.1,13,0,10,58906.9,0.008849558
1,298.9,308.9,1422,47.6,15,0,10,67687.2,0.010548523
2,299,309,1804,26.8,17,0,10,48347.2,0.009423503
0,299,309,1436,43.9,20,0,10,63040.4,0.013927577
1,299,309,1544,31.8,25,0,10,49099.2,0.01619171
2,299,309,1419,45.2,27,0,10,64138.8,0.019027484
2,298.9,308.9,1487,39.5,30,0,10,58736.5,0.020174849
1,298.9,308.9,1753,25.8,33,0,10,45227.4,0.018824872
1,298.9,308.9,1830,24.9,35,0,10,45567,0.019125683
2,298.9,308.9,1727,27.1,37,0,10,46801.7,0.021424435
1,299.1,309,1450,43,40,0,9.9,62350,0.027586207
1,299,308.9,1622,31.9,42,0,9.9,51741.8,0.025893958
2,299,309,1351,52.2,44,0,10,70522.2,0.032568468
2,299,309,1575,35.3,47,0,10,55597.5,0.02984127
2,298.9,308.9,1750,29.9,50,0,10,52325,0.028571429
1,298.9,308.8,1529,32.7,53,0,9.9,49998.3,0.034663179
1,298.8,308.8,1523,44.4,55,0,10,67621.2,0.036112935
1,298.8,308.9,1852,25,57,0,10.1,46300,0.030777538
1,298.8,308.8,1991,20.7,59,0,10,41213.7,0.02963335
1,298.8,308.8,1555,40.6,61,0,10,63133,0.039228296
2,298.8,308.8,1441,40.5,63,0,10,58360.5,0.043719639
1,298.8,308.7,1450,43.4,66,0,9.9,62930,0.045517241
1,298.8,308.7,1591,31.1,68,0,9.9,49480.1,0.042740415
1,298.8,308.7,1445,48.5,70,0,9.9,70082.5,0.048442907
2,298.8,308.8,1497,46.8,72,0,10,70059.6,0.048096192
0,298.9,308.8,1621,32.7,75,0,9.9,53006.7,0.046267736
1,298.9,308.7,1572,34.1,80,0,9.8,53605.2,0.050890585
1,298.8,308.6,1872,22.5,82,0,9.8,42120,0.043803419
0,298.7,308.6,1499,43.5,84,0,9.9,65206.5,0.056037358
2,298.8,308.7,1498,39.5,89,0,9.9,59171,0.05941255
2,298.8,308.6,1486,41.9,92,0,9.8,62263.4,0.061911171
1,298.8,308.6,1680,29.4,95,0,9.8,49392,0.056547619
1,298.8,308.6,1431,45.7,97,0,9.8,65396.7,0.067784766
1,298.9,308.7,1564,34.1,99,0,9.8,53332.4,0.063299233
1,298.8,308.6,1599,33,101,0,9.8,52767,0.063164478
2,298.8,308.6,1707,28.1,103,0,9.8,47966.7,0.060339777
1,298.7,308.5,1467,40.7,106,0,9.8,59706.9,0.072256305
1,298.9,308.7,1433,44.7,108,0,9.8,64055.1,0.075366364
1,298.9,308.7,1558,41.2,110,0,9.8,64189.6,0.070603338
1,299,308.8,1310,50.7,112,0,9.8,66417,0.085496183
1,298.9,308.7,1546,43.4,114,0,9.8,67096.4,0.07373868
1,298.9,308.7,1727,29.4,116,0,9.8,50773.8,0.0671685
1,298.9,308.6,1560,32.2,118,0,9.7,50232,0.075641026
1,299,308.6,1329,60.5,120,0,9.6,80404.5,0.090293454
1,298.9,308.6,1413,46.5,122,0,9.7,65704.5,0.086341118
1,299,308.6,1587,38.6,124,0,9.6,61258.2,0.078134846
1,298.9,308.5,1559,34.3,126,0,9.6,53473.7,0.080821039
1,298.8,308.4,1473,41.1,128,0,9.6,60540.3,0.086897488
1,298.8,308.4,1737,27.7,130,0,9.6,48114.9,0.074841681
2,298.7,308.4,1441,43.2,132,0,9.7,62251.2,0.091603053
2,298.7,308.4,1430,49.6,135,0,9.7,70928,0.094405594
1,298.8,308.4,1369,53,138,0,9.6,72557,0.100803506
2,298.8,308.5,1711,28.5,140,0,9.7,48763.5,0.081823495
0,298.7,308.5,1420,45.7,143,0,9.8,64894,0.100704225
1,298.7,308.6,1297,55.3,148,0,9.9,71724.1,0.114109483
0,298.8,308.6,1449,49.4,150,0,9.8,71580.6,0.103519669
1,298.8,308.6,1268,55.8,155,0,9.8,70754.4,0.122239748
1,298.8,308.6,1511,36.1,157,0,9.8,54547.1,0.103904699
1,298.7,308.5,1544,35.2,159,0,9.8,54348.8,0.102979275
