Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp_diff [K],power,wear_rate
2,298.1,308.6,1551,42.8,0,0,10.5,66382.79999999999,0.0
1,298.2,308.7,1408,46.3,3,0,10.5,65190.399999999994,0.002130681818181818
1,298.1,308.5,1498,49.4,5,0,10.399999999999977,74001.2,0.0033377837116154874
1,298.2,308.6,1433,39.5,7,0,10.400000000000034,56603.5,0.004884856943475227
1,298.2,308.7,1408,40.0,9,0,10.5,56320.0,0.006392045454545455
2,298.1,308.6,1425,41.9,11,0,10.5,59707.5,0.0077192982456140355
1,298.1,308.6,1558,42.4,14,0,10.5,66059.2,0.008985879332477536
1,298.1,308.6,1527,40.2,16,0,10.5,61385.4,0.010478061558611657
2,298.3,308.7,1667,28.6,18,0,10.399999999999977,47676.200000000004,0.010797840431913617
2,298.5,309.0,1741,28.0,21,0,10.5,48748.0,0.012062033314187249
0,298.4,308.9,1782,23.9,24,0,10.5,42589.799999999996,0.013468013468013467
0,298.6,309.1,1423,44.3,29,0,10.5,63038.899999999994,0.020379479971890373
2,298.6,309.1,1339,51.1,34,0,10.5,68422.90000000001,0.02539208364451083
2,298.6,309.2,1742,30.0,37,0,10.599999999999966,52260.0,0.02123995407577497
1,298.6,309.2,2035,19.6,40,0,10.599999999999966,39886.0,0.019656019656019656
1,298.6,309.2,1542,48.4,42,0,10.599999999999966,74632.8,0.027237354085603113
2,298.6,309.2,1311,46.6,44,0,10.599999999999966,61092.6,0.033562166285278416
2,298.7,309.2,1410,45.6,47,0,10.5,64296.0,0.03333333333333333
0,298.8,309.2,1306,54.5,50,0,10.399999999999977,71177.0,0.03828483920367534
2,298.9,309.3,1632,32.5,55,0,10.400000000000034,53040.0,0.03370098039215686
0,298.9,309.3,1375,42.7,58,0,10.400000000000034,58712.50000000001,0.04218181818181818
1,298.8,309.3,1450,44.8,63,0,10.5,64959.99999999999,0.043448275862068966
2,298.9,309.3,1581,30.7,65,0,10.400000000000034,48536.7,0.041113219481340925
1,299.0,309.4,1758,25.7,68,0,10.399999999999977,45180.6,0.038680318543799774
2,299.0,309.4,1561,37.3,70,0,10.399999999999977,58225.299999999996,0.04484304932735426
1,299.0,309.5,1861,23.3,73,0,10.5,43361.3,0.03922622246104245
1,299.1,309.5,1512,39.0,75,0,10.399999999999977,58968.0,0.0496031746031746
0,299.1,309.4,1811,24.6,77,0,10.299999999999955,44550.600000000006,0.04251794588625069
1,299.1,309.4,1439,44.2,82,0,10.299999999999955,63603.8,0.05698401667824878
1,299.0,309.4,1693,30.1,84,0,10.399999999999977,50959.3,0.049616066154754876
2,299.1,309.5,1339,48.2,86,0,10.399999999999977,64539.8,0.0642270351008215
1,299.0,309.4,1798,25.5,89,0,10.399999999999977,45849.0,0.04949944382647386
1,299.0,309.4,1419,48.3,91,0,10.399999999999977,68537.7,0.06412966878083157
1,298.9,309.3,1665,32.5,93,0,10.400000000000034,54112.5,0.055855855855855854
2,298.8,309.1,1559,34.7,95,0,10.300000000000011,54097.3,0.06093649775497113
2,298.8,309.2,1452,48.6,98,0,10.399999999999977,70567.2,0.0674931129476584
2,298.9,309.2,1581,36.7,101,0,10.300000000000011,58022.700000000004,0.06388361796331436
1,298.8,309.1,1439,39.2,104,0,10.300000000000011,56408.8,0.07227241139680333
0,298.9,309.2,1379,50.7,106,0,10.300000000000011,69915.3,0.07686729514140682
1,298.8,309.1,1350,52.5,111,0,10.300000000000011,70875.0,0.08222222222222222
1,298.8,309.1,1362,45.4,113,0,10.300000000000011,61834.799999999996,0.08296622613803231
1,298.8,309.1,1368,50.8,115,0,10.300000000000011,69494.4,0.08406432748538012
2,298.8,309.1,1368,49.1,117,0,10.300000000000011,67168.8,0.08552631578947369
0,298.8,309.2,1372,48.5,120,0,10.399999999999977,66542.0,0.08746355685131195
2,298.8,309.1,1472,47.5,125,0,10.300000000000011,69920.0,0.08491847826086957
1,298.8,309.1,1489,49.1,128,0,10.300000000000011,73109.90000000001,0.08596373404969779
2,298.7,309.0,1843,25.8,130,0,10.300000000000011,47549.4,0.0705371676614216
1,298.8,309.1,1418,46.3,133,0,10.300000000000011,65653.4,0.09379407616361073
0,298.8,309.2,1425,53.9,135,0,10.399999999999977,76807.5,0.09473684210526316
